Date,Open,High,Low,Close,Adj Close,Volume
2018-03-23,539.890015,543.840027,506.790009,543.830017,543.830017,225200086
2018-03-24,543.840027,546.010010,519.510010,520.159973,520.159973,129350391
2018-03-25,520.169983,535.770020,513.630005,523.010010,523.010010,111462284
2018-03-25,522.969971,526.200012,467.480011,486.250000,486.250000,278656813
2018-03-26,486.140015,491.920013,446.420013,448.779999,448.779999,328179170
2018-03-27,448.779999,465.200012,440.350006,445.929993,445.929993,187271233
2018-03-28,445.929993,448.500000,380.350006,383.899994,383.899994,472575968
2018-03-29,383.959991,411.170013,364.989990,393.820007,393.820007,450253373
2018-03-30,393.829987,421.049988,389.989990,394.070007,394.070007,243062846
2018-03-31,394.070007,399.589996,359.220001,378.850006,378.850006,236013242
2018-04-01,378.850006,394.119995,375.799988,384.679993,384.679993,156793473
2018-04-02,384.679993,426.839996,380.709991,415.929993,415.929993,223508235
2018-04-03,415.929993,417.109985,370.660004,378.649994,378.649994,223170178
2018-04-04,378.649994,387.559998,367.149994,381.359985,381.359985,160332018
2018-04-05,381.429993,385.779999,363.510010,370.350006,370.350006,133748822
2018-04-06,370.350006,397.100006,369.660004,384.980011,384.980011,108165642
2018-04-07,384.980011,404.220001,384.980011,400.720001,400.720001,107956653
2018-04-08,400.720001,431.230011,387.980011,399.019989,399.019989,271803047
2018-04-09,399.019989,418.269989,391.839996,415.649994,415.649994,129335600
2018-04-10,415.649994,433.440002,410.970001,430.420013,430.420013,167561896
2018-04-11,430.390015,498.079987,414.029999,493.950012,493.950012,450834363
2018-04-12,493.950012,528.950012,482.100006,494.959991,494.959991,470945268
2018-04-13,494.959991,514.659973,487.720001,502.790009,502.790009,191073028
2018-04-14,502.790009,534.309998,502.790009,534.150024,534.150024,243926045
2018-04-15,534.159973,537.479980,499.170013,511.670013,511.670013,249996040
2018-04-16,511.670013,522.070007,500.480011,503.029999,503.029999,195195626
2018-04-17,503.029999,526.609985,501.700012,525.780029,525.780029,178681435
2018-04-18,525.780029,570.179993,521.830017,567.250000,567.250000,267530654
2018-04-19,567.250000,622.140015,557.979980,617.159973,617.159973,410498449
2018-04-20,617.169983,625.150024,576.090027,605.169983,605.169983,294264369
2018-04-21,605.169983,644.289978,591.809998,621.330017,621.330017,270504773
2018-04-22,621.330017,648.409973,619.570007,644.130005,644.130005,238556831
2018-04-23,644.130005,711.640015,644.059998,703.349976,703.349976,538337384
2018-04-24,703.400024,703.900024,592.590027,617.729980,617.729980,903686072
2018-04-25,617.619995,665.969971,600.349976,661.450012,661.450012,387845424
2018-04-26,661.409973,686.049988,640.739990,643.330017,643.330017,323944620
2018-04-27,643.119995,693.469971,640.090027,683.020020,683.020020,238423753
2018-04-28,683.020020,698.950012,665.280029,689.309998,689.309998,216606354
2018-04-29,689.309998,693.630005,663.280029,670.039978,670.039978,248315675
2018-04-30,670.039978,674.619995,628.289978,670.809998,670.809998,355270695
2018-05-01,670.809998,690.859985,662.130005,686.739990,686.739990,255558720
2018-05-02,686.739990,787.570007,685.919983,777.619995,777.619995,588164727
2018-05-03,777.780029,804.630005,759.669983,784.210022,784.210022,427563922
2018-05-04,784.190002,827.440002,780.080017,816.580017,816.580017,315600160
2018-05-05,816.590027,834.299988,753.510010,790.390015,790.390015,374541870
2018-05-06,790.390015,794.859985,690.909973,752.400024,752.400024,828032480
2018-05-07,752.390015,775.380005,720.359985,747.789978,747.789978,380893335
2018-05-08,747.789978,759.909973,709.780029,751.270020,751.270020,341691727
2018-05-09,751.270020,767.219971,722.650024,723.609985,723.609985,287536989
2018-05-10,723.630005,735.969971,665.489990,677.799988,677.799988,518848404
2018-05-11,677.799988,690.880005,638.469971,683.640015,683.640015,324590855
2018-05-12,683.640015,740.020020,669.960022,729.340027,729.340027,274037817
2018-05-13,729.340027,741.820007,685.750000,727.409973,727.409973,453297981
2018-05-14,727.409973,738.530029,695.299988,705.640015,705.640015,287313625
2018-05-15,705.640015,710.260010,676.599976,706.719971,706.719971,251185347
2018-05-16,706.710022,718.309998,661.809998,668.380005,668.380005,244822300
2018-05-17,668.409973,694.349976,657.700012,693.570007,693.570007,238310952
2018-05-18,693.570007,716.859985,683.000000,696.049988,696.049988,161222563
2018-05-19,696.049988,722.710022,687.859985,715.150024,715.150024,165135550
2018-05-20,715.150024,718.700012,687.059998,696.729980,696.729980,144560339
2018-05-21,696.729980,698.460022,638.349976,640.840027,640.840027,287275714
2018-05-22,641.119995,649.590027,564.320007,577.010010,577.010010,549177930
2018-05-23,577.010010,609.000000,544.190002,602.590027,602.590027,426679791
2018-05-24,602.659973,615.919983,568.650024,584.770020,584.770020,281427114
2018-05-25,584.770020,607.809998,578.429993,585.760010,585.760010,146794781
2018-05-26,585.760010,590.880005,555.200012,569.640015,569.640015,223422108
2018-05-27,569.640015,574.520020,500.809998,512.030029,512.030029,387811928
2018-05-28,512.030029,572.469971,510.910004,566.590027,566.590027,348565933
2018-05-29,566.700012,585.229980,542.080017,557.119995,557.119995,254739325
2018-05-30,557.119995,585.919983,553.419983,577.229980,577.229980,236501539
2018-05-31,577.229980,589.260010,564.460022,579.010010,579.010010,202265552
2018-06-01,579.010010,599.530029,574.359985,590.530029,590.530029,171480785
2018-06-02,590.530029,628.059998,590.299988,619.039978,619.039978,157840093
2018-06-03,619.030029,625.950012,580.070007,591.309998,591.309998,201486274
2018-06-04,591.309998,612.989990,576.469971,608.229980,608.229980,193989055
2018-06-05,608.200012,611.669983,593.099976,606.299988,606.299988,158835369
2018-06-06,606.299988,616.000000,598.599976,604.440002,604.440002,170556871
2018-06-07,604.440002,607.770020,592.840027,599.549988,599.549988,118164433
2018-06-08,599.549988,609.109985,591.719971,593.380005,593.380005,85198699
2018-06-09,593.349976,593.349976,501.679993,524.739990,524.739990,345313063
2018-06-10,524.729980,535.789978,509.820007,531.150024,531.150024,264673809
2018-06-11,531.150024,539.340027,484.700012,494.529999,494.529999,279956302
2018-06-12,494.529999,501.670013,450.049988,476.299988,476.299988,357167683
2018-06-13,476.299988,526.640015,460.010010,519.830017,519.830017,440112742
2018-06-14,519.830017,521.179993,483.019989,487.510010,487.510010,255304825
2018-06-15,487.510010,503.279999,483.989990,497.220001,497.220001,119611543
2018-06-16,497.220001,507.489990,494.010010,496.739990,496.739990,105737440
2018-06-17,496.839996,524.650024,487.720001,517.630005,517.630005,172442291
2018-06-18,517.630005,547.940002,515.020020,538.450012,538.450012,197307560
2018-06-19,538.450012,541.799988,517.150024,536.159973,536.159973,176897556
2018-06-20,536.159973,544.679993,521.919983,525.770020,525.770020,135522218
2018-06-21,525.739990,525.840027,450.040009,462.160004,462.160004,364779786
2018-06-22,462.160004,481.059998,456.239990,474.179993,474.179993,139553623
2018-06-23,474.179993,476.190002,421.010010,455.250000,455.250000,315576348
2018-06-24,455.250000,473.269989,445.529999,458.820007,458.820007,212246797
2018-06-25,458.809998,461.179993,429.380005,429.579987,429.579987,204035202
2018-06-26,429.890015,446.119995,419.839996,441.750000,441.750000,182343321
